fiscal_year,fiscal_period,department,division,merchant,category_description,transaction_date,amount
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,STARBUCKS B05 ORD,Fast Food Restaurants,2024-06-24,8.66
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,AMAZON MKTPL*RG4DM8RV2,Book Stores,2024-06-25,1702.79
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,MISSION BBQ DOVER-CATERIN,Caterers,2024-06-25,382.13
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,LIFETECHCORP12214015,Dental-Lab-Med-Ophthalmic Hosp Equip Supplies,2024-06-25,7481.9
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,SQ *ICE AND DRY ICE,Misc Food Store-Convenience Mrkt Splty Vendng Macs,2024-06-24,80.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,TAYLOR WATER TECH,Swimming Pools - Sales And Supplies,2024-06-26,169.57
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,UBER TRIP,Travel,2024-06-24,9.6
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,UBER TRIP,Travel,2024-06-24,64.05
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,LE BUS CAFE,Eating Places Restaurants,2024-06-25,14.97
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,TST* BARDENAY RESTAURANT,Eating Places Restaurants,2024-06-25,11.26
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,LIFETECHCORP12214015,Dental-Lab-Med-Ophthalmic Hosp Equip Supplies,2024-06-26,1980.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,CURRITO TERMINAL D CURRI,Eating Places Restaurants,2024-06-24,20.27
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,DD DOORDASH BLONDIESP,Eating Places Restaurants,2024-06-25,28.37
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,BRUKER SCIENTIFIC,Dental-Lab-Med-Ophthalmic Hosp Equip Supplies,2024-06-25,1568.25
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,HILTON ADVPURCH8002367113,Lodging,2024-06-24,730.33
2024,12,DEPT OF HEALTH AND SOCIAL SV,Community Health,WAL-MART #2460,Grocery Stores Supermarkets,2024-06-26,226.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,Administration-Mental Health,CADCA ALEXANDRIA VA,Organizations Charitable And Social Services,2024-06-26,745.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,Administration-Mental Health,AMAZON MKTPLACE PMTS,Book Stores,2024-06-26,-48.69
2024,12,DEPT OF HEALTH AND SOCIAL SV,Administration-Mental Health,AMAZON MKTPL*RG0BR6U91,Book Stores,2024-06-25,194.76
2024,12,DEPT OF HEALTH AND SOCIAL SV,Administration-Mental Health,AMAZON MKTPLACE PMTS,Book Stores,2024-06-26,-48.69
2024,12,DEPT OF HEALTH AND SOCIAL SV,Administration-Mental Health,AMAZON MKTPLACE PMTS,Book Stores,2024-06-26,-48.69
2024,12,DEPT OF HEALTH AND SOCIAL SV,Administration-Mental Health,TRAVELOCITY*7286245623,Travel,2024-06-26,1166.25
2024,12,DEPT OF HEALTH AND SOCIAL SV,Administration-Mental Health,UNITED 0162400051730,Airline,2024-06-26,467.45
2024,12,DEPT OF HEALTH AND SOCIAL SV,Administration-Mental Health,DEA REGISTRATION,Government Services-Not Elsewhere Classified,2024-06-24,888.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,Administration-Mental Health,AMAZON MKTPL*RC2EX4FA2,Book Stores,2024-06-26,146.07
2024,12,DEPT OF HEALTH AND SOCIAL SV,Substance Abuse,WAWA 823,Misc Food Store-Convenience Mrkt Splty Vendng Macs,2024-06-24,180.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,Social Services,CHICK-FIL-A,Eating Places Restaurants,2024-06-26,20.06
2024,12,DEPT OF HEALTH AND SOCIAL SV,Social Services,MARRIOTT CRYSTAL GWY F,Lodging,2024-06-25,19.2
2024,12,DEPT OF HEALTH AND SOCIAL SV,Social Services,UBER TRIP,Travel,2024-06-26,9.29
2024,12,DEPT OF HEALTH AND SOCIAL SV,Social Services,MARRIOTT CRYSTAL GWY F,Lodging,2024-06-24,14.82
2024,12,DEPT OF HEALTH AND SOCIAL SV,Social Services,MARRIOTT CRYSTAL GWY F,Lodging,2024-06-24,22.9
2024,12,DEPT OF HEALTH AND SOCIAL SV,Social Services,MARRIOTT CRYSTAL GWY F,Lodging,2024-06-24,30.6
2024,12,DEPT OF HEALTH AND SOCIAL SV,Social Services,NAT'L MUSEUM OF AAHC,Fast Food Restaurants,2024-06-25,35.86
2024,12,DEPT OF HEALTH AND SOCIAL SV,Social Services,TST* WATERPARK - KIOSK 8,Eating Places Restaurants,2024-06-25,11.05
2024,12,DEPT OF HEALTH AND SOCIAL SV,Social Services,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-25,85.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,Social Services,WAL-MART #3802,Grocery Stores Supermarkets,2024-06-25,100.7
2024,12,DEPT OF HEALTH AND SOCIAL SV,Visually Impaired Services,AMAZON.COM*RG5VS76J1,Book Stores,2024-06-24,23.98
2024,12,DEPT OF HEALTH AND SOCIAL SV,Visually Impaired Services,COCOONS.COM,Miscellaneous And Specialty Retail Stores,2024-06-26,73.95
2024,12,DEPT OF HEALTH AND SOCIAL SV,Visually Impaired Services,H2C CHILI'S BAR E2 ORD,Eating Places Restaurants,2024-06-24,27.27
2024,12,DEPT OF HEALTH AND SOCIAL SV,Visually Impaired Services,WILMINGTON FAMILY EYE,Optometrists Ophthalmologists,2024-06-25,5440.09
2024,12,DEPT OF HEALTH AND SOCIAL SV,Visually Impaired Services,H2C CHILI'S BAR E2 ORD,Eating Places Restaurants,2024-06-24,44.19
2024,12,DEPT OF HEALTH AND SOCIAL SV,Visually Impaired Services,UBER TRIP,Travel,2024-06-27,20.1
2024,12,DEPT OF HEALTH AND SOCIAL SV,Child Support Services,NAVITOR/TAYLOR CORP,Stationery-Office Supplies-Printing Writing Pap,2024-06-26,58.1
2024,12,DEPT OF HEALTH AND SOCIAL SV,Stockley Center,ENABLING DEVICES,Durable Goods Not Elsewhere Classified,2024-06-24,22.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,Stockley Center,THERMO KING WEST INC,Automotive Service Shops,2024-06-24,713.94
2024,12,DEPT OF HEALTH AND SOCIAL SV,State Service Centers,TST* PIERCE TAVERN,Eating Places Restaurants,2024-06-25,28.62
2024,12,DEPT OF HEALTH AND SOCIAL SV,State Service Centers,HUDSON NEWS ST852 CNN,Books Periodicals And Newspapers,2024-06-26,15.42
2024,12,DEPT OF HEALTH AND SOCIAL SV,State Service Centers,AMERICAN AIR0010283794373,Airline,2024-06-26,40.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,State Service Centers,UBER TRIP,Travel,2024-06-26,16.91
2024,12,DEPT OF HEALTH AND SOCIAL SV,State Service Centers,TST* PIERCE TAVERN,Eating Places Restaurants,2024-06-25,20.33
2024,12,DEPT OF HEALTH AND SOCIAL SV,State Service Centers,UBER TRIP,Travel,2024-06-26,5.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,State Service Centers,AMERICAN AIR0010283794414,Airline,2024-06-26,40.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,State Service Centers,JACK DUGGAN S PUB,Bar Lounge Disco Nightclub Tavern-Alcoholic Drinks,2024-06-24,33.01
2024,12,DEPT OF HEALTH AND SOCIAL SV,State Service Centers,UBER TRIP,Travel,2024-06-26,10.95
2024,12,DEPT OF HEALTH AND SOCIAL SV,State Service Centers,JACK DUGGAN S PUB,Bar Lounge Disco Nightclub Tavern-Alcoholic Drinks,2024-06-24,25.02
2024,12,DEPT OF HEALTH AND SOCIAL SV,State Service Centers,AMERICAN AI 0010283645866,Airline,2024-06-24,40.0
2024,12,DEPT OF HEALTH AND SOCIAL SV,AdministrationCommunity Svcs,ALPHAGRAPHICS WILMINGTON,Miscellaneous Publishing And Printing,2024-06-25,45.02
2024,12,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,FBB*WMNWITHN TEL ORD,Womens Ready To Wear Stores,2024-06-26,34.52
2024,12,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,FBB*WMNWITHN TEL ORD,Womens Ready To Wear Stores,2024-06-25,37.49
2024,12,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,FOOD LION #1426,Grocery Stores Supermarkets,2024-06-24,18.99
2024,12,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,WAL-MART #1736,Grocery Stores Supermarkets,2024-06-24,38.85
2024,12,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,WM SUPERCENTER #1736,Grocery Stores Supermarkets,2024-06-24,52.47
2024,12,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,SAMSCLUB.COM,Wholesale Clubs,2024-06-25,79.92
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,AMZN MKTP US*RG6V80Y22,Book Stores,2024-06-26,7.01
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,IN *SEAFORD SWIMMING POOL,Clubs-Cntry MbrshipAthlet Rec Sprts Private Golf,2024-06-24,540.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,DELAWARE ELECTRIC COOP,Utlts-Elctrc Gas Heating Oil Sanitary Water,2024-06-25,192.2
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,FRAUD CREDIT,Public Warehousing-Farm Refrig Goods Hhg Storage,2024-06-25,-106.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,FRAUD CREDIT,Public Warehousing-Farm Refrig Goods Hhg Storage,2024-06-25,-106.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,AMAZON MKTPL*RG6XT6QP1,Book Stores,2024-06-24,46.98
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,AMZN MKTP US*RC2AV7NK1,Book Stores,2024-06-27,7.84
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,AMZN MKTP US*RC9JV7FC1,Book Stores,2024-06-26,11.29
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,INNOVATIVE LABEL TECHN,Commercial Art Graphics Photography,2024-06-25,80.35
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,WALMART.COM,Discount Stores,2024-06-24,219.99
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,AMZN MKTP US*RC8M22C31,Book Stores,2024-06-26,197.99
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,AMZN MKTP US*RC8F87MY0,Book Stores,2024-06-26,6.65
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Fiscal Services,DMI* DELL K-12/GOVT,Computers Computer Peripheral Equipment Software,2024-06-26,1675.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Managed Care Organization,DELMARVA PWR PAYMENTUS,Utlts-Elctrc Gas Heating Oil Sanitary Water,2024-06-25,333.95
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Managed Care Organization,WPA CUSTOM HOUSE,Automobile Parking Lots And Garages,2024-06-24,11.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Managed Care Organization,COL PRKNG JSTCE CTR Q08,Womens Ready To Wear Stores,2024-06-26,10.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,DAIRY QUEEN #42047 OLO,Fast Food Restaurants,2024-06-26,42.32
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,MCDONALDS 5309,Fast Food Restaurants,2024-06-25,68.28
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,MILFORD MOVIES 9,Motion Picture Theaters,2024-06-25,99.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,TEXAS ROADHOUSE #2242,Eating Places Restaurants,2024-06-27,16.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,MILFORD MOVIES 9,Motion Picture Theaters,2024-06-25,104.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,WALMART.COM 8009256278,Discount Stores,2024-06-24,26.34
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,DAIRY QUEEN #42047 OLO,Fast Food Restaurants,2024-06-25,26.45
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,WAWA 854,Service Stations With Or Without Ancillary Service,2024-06-25,63.99
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,CHUCK E CHEESE RESERV,Video Game Arcades-Establishments,2024-06-24,50.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,CHICK-FIL-A #04491,Fast Food Restaurants,2024-06-25,123.8
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,CINEMARK THEATRES 1076,Motion Picture Theaters,2024-06-25,54.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,DELAWARE ZOOLOGICAL SO,Organizations Charitable And Social Services,2024-06-25,88.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,VINCE'S SPORTS CENTER,Golf Courses-Public,2024-06-26,180.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,BUDGET INN,Lodging,2024-06-24,450.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,PARKS CAMP ASPIRA,Government Services-Not Elsewhere Classified,2024-06-25,25.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,PreventionEarly Intervention,REGAL BRANDYWINE 0509,Motion Picture Theaters,2024-06-26,35.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,LOWES #02429*,Home Supply Warehouse Stores,2024-06-24,29.96
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,SQ *DELAWARE HARDSCAPE SU,Miscellaneous And Specialty Retail Stores,2024-06-24,384.38
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,LOWES #02429*,Home Supply Warehouse Stores,2024-06-24,38.64
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,SQ *HOAGIE HUT,Fast Food Restaurants,2024-06-26,14.94
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,SQ *HOAGIE HUT,Fast Food Restaurants,2024-06-26,14.94
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,AMAZON MKTPL*RG3A657H2,Book Stores,2024-06-25,24.29
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,AMAZON MKTPL*RG1AY3DS1,Book Stores,2024-06-24,53.53
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,AMAZON MKTPL*RG5L72UM1,Book Stores,2024-06-25,38.99
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,AMAZON MKTPL*RG2G72UM2,Book Stores,2024-06-25,20.99
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,AMAZON MKTPL*RC8X101A0,Book Stores,2024-06-25,34.99
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,AMAZON MKTPL*RG3W22W32,Book Stores,2024-06-25,17.99
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,AMAZON MKTPL*RG3W87W52,Book Stores,2024-06-25,14.39
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,AMAZON MKTPL*RC2XG7G40,Book Stores,2024-06-25,89.94
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,MILLERSALEHOUSE,Eating Places Restaurants,2024-06-25,41.79
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,MILLERSALEHOUSE,Eating Places Restaurants,2024-06-25,41.69
2024,12,SVS FR CHILDREN YOUTH FAMILIES,24 Hour Treatment,GIANT 0388,Grocery Stores Supermarkets,2024-06-24,85.97
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,PREMIER ORAL AND FACIAL S,Doctors Not Elsewhere Classified,2024-06-24,155.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Community Services,COL PRKNG JSTCE CTR Q08,Womens Ready To Wear Stores,2024-06-25,8.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Community Services,COLONIAL RENAISSANCE CTR,Automobile Parking Lots And Garages,2024-06-24,5.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Community Services,COL PRKNG JSTCE CTR Q08,Womens Ready To Wear Stores,2024-06-24,11.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Community Services,COL PRKNG JSTCE CTR Q08,Womens Ready To Wear Stores,2024-06-26,10.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Community Services,COL PRKNG JSTCE CTR Q08,Womens Ready To Wear Stores,2024-06-24,8.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Community Services,COL PRKNG JSTCE CTR Q08,Womens Ready To Wear Stores,2024-06-24,6.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Community Services,COL PRKNG JSTCE CTR Q08,Womens Ready To Wear Stores,2024-06-25,8.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Community Services,COLONIAL RENAISSANCE CTR,Automobile Parking Lots And Garages,2024-06-25,3.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Community Services,COL PRKNG JSTCE CTR Q08,Womens Ready To Wear Stores,2024-06-24,10.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Secure Care,AMZN MKTP US*RC6WA3CH2,Book Stores,2024-06-26,128.97
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Secure Care,BJS WHOLESALE #0354,Wholesale Clubs,2024-06-25,49.77
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Secure Care,LYFT RIDE WED 7AM,Travel,2024-06-26,25.67
2024,12,SVS FR CHILDREN YOUTH FAMILIES,Secure Care,TST* TATTE BAKERY CITY RI,Eating Places Restaurants,2024-06-26,18.25
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,AMAZON MKTPL*RG5FS7KZ1,Book Stores,2024-06-24,8.99
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,WAL-MART #5436,Discount Stores,2024-06-24,23.9
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,PHR*BOSTONCHILDREN'SHEALT,Doctors Not Elsewhere Classified,2024-06-25,607.91
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,CHICK-FIL-A #03905,Fast Food Restaurants,2024-06-24,11.09
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,POCONO PLATEAU CAMP,Organizations Charitable And Social Services,2024-06-25,450.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,AMERICAN AIR0012153702419,Airline,2024-06-26,247.47
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,USPS PO 0968300503,Postal Services-Government Only,2024-06-25,9.85
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,PHARMERICA,Drug Stores Pharmacies,2024-06-25,24.45
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,AMERICAN AIR0012153702420,Airline,2024-06-26,247.47
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,AMERICAN AIR0012153702421,Airline,2024-06-26,247.47
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,AMERICAN AIR0010654390231,Airline,2024-06-26,24.32
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,CHICKIES And PETES AI,Eating Places Restaurants,2024-06-26,31.96
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,AMERICAN AIR0012153699796,Airline,2024-06-26,188.48
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,AMERICAN AIR0010654390232,Airline,2024-06-26,22.11
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,SHOPRITE GOVERNORS SQ,Grocery Stores Supermarkets,2024-06-26,60.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,SPECS FOR LESS 35050,Opticians Optical Goods Eyeglasses,2024-06-25,84.99
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,DELAWARE DMV WILMINGTON,Government Services-Not Elsewhere Classified,2024-06-25,40.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,ACME 0872,Grocery Stores Supermarkets,2024-06-24,60.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,ZENNI OPTICAL INC.,Opticians Optical Goods Eyeglasses,2024-06-25,28.9
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,DAYS INN DOVER,Lodging,2024-06-26,93.08
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,DELAWARE DMV DOVER,Government Services-Not Elsewhere Classified,2024-06-24,40.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,WAL-MART #2555,Grocery Stores Supermarkets,2024-06-24,137.89
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,BARGAIN WORLD,Wig And Toupee Shops,2024-06-24,38.44
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,WAL-MART #2555,Grocery Stores Supermarkets,2024-06-24,124.28
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,MCDONALD'S F3822,Fast Food Restaurants,2024-06-24,5.59
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,EDUCERE LLC,Schools Educational Svc-Not Elsewhere Classified,2024-06-27,298.5
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,ACME 0871,Grocery Stores Supermarkets,2024-06-25,60.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,MCDONALD'S F12682,Fast Food Restaurants,2024-06-24,11.19
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,WAWA 851,Service Stations With Or Without Ancillary Service,2024-06-24,7.08
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,RED ROOF INN 0812,Lodging,2024-06-24,157.84
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,DTLR INC,Family Clothing Stores,2024-06-24,124.2
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,AMERICAN AIR0012153699797,Airline,2024-06-26,188.48
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,BKGHOTEL AT BOOKING.C,Travel,2024-06-25,93.08
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,GTL*INMATE PHONE SVC,Telecom Incl Prepaid-Recurring Phone Svcs,2024-06-25,10.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,BRANDYWINE FURNITURE INC,Equip Furniture Home Furnshngs Strs Excpt Appl,2024-06-24,45.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,WAWA 840,Service Stations With Or Without Ancillary Service,2024-06-24,10.58
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,PHARMERICA,Drug Stores Pharmacies,2024-06-25,4.34
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,DICKS SPORTING GOODS,Sporting Goods Stores,2024-06-26,94.0
2024,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,ACME 0871,Grocery Stores Supermarkets,2024-06-25,60.0
2024,12,DEPT OF CORRECTIONS,Human Resources,TST* LEYE - TALL BOY TACO,Eating Places Restaurants,2024-06-24,39.24
2024,12,DEPT OF CORRECTIONS,Human Resources,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-25,20.0
2024,12,DEPT OF CORRECTIONS,Human Resources,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-26,20.0
2024,12,DEPT OF CORRECTIONS,Human Resources,HYATT REG MCCORMICK F And B,Eating Places Restaurants,2024-06-25,38.0
2024,12,DEPT OF CORRECTIONS,Human Resources,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-26,20.0
2024,12,DEPT OF CORRECTIONS,Human Resources,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-24,20.0
2024,12,DEPT OF CORRECTIONS,Human Resources,TST* HARRY CARAYS 7TH IN,Eating Places Restaurants,2024-06-26,27.29
2024,12,DEPT OF CORRECTIONS,Human Resources,HYATT REG MCCORMICK F And B,Eating Places Restaurants,2024-06-24,24.23
2024,12,DEPT OF CORRECTIONS,Human Resources,TST* LEYE - TALL BOY TACO,Eating Places Restaurants,2024-06-25,38.39
2024,12,DEPT OF CORRECTIONS,Human Resources,TST* LEYE - TALL BOY TACO,Eating Places Restaurants,2024-06-24,41.54
2024,12,DEPT OF CORRECTIONS,Human Resources,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-24,20.0
2024,12,DEPT OF CORRECTIONS,Human Resources,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-24,20.0
2024,12,DEPT OF CORRECTIONS,Human Resources,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-25,20.0
2024,12,DEPT OF CORRECTIONS,Human Resources,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-25,20.0
2024,12,DEPT OF CORRECTIONS,Human Resources,HYATT REG MCCORMICK F And B,Eating Places Restaurants,2024-06-25,27.35
2024,12,DEPT OF CORRECTIONS,Human Resources,TST* HARRY CARAYS 7TH IN,Eating Places Restaurants,2024-06-26,26.18
2024,12,DEPT OF CORRECTIONS,Human Resources,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-26,20.0
2024,12,DEPT OF CORRECTIONS,Human Resources,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-26,20.0
2024,12,DEPT OF CORRECTIONS,Human Resources,HYATT REG MCCORMICK F And B,Eating Places Restaurants,2024-06-24,29.7
2024,12,DEPT OF CORRECTIONS,Human Resources,TST* LEYE - TALL BOY TACO,Eating Places Restaurants,2024-06-25,33.62
2024,12,DEPT OF CORRECTIONS,Administrative Services,UBER TRIP,Travel,2024-06-26,6.06
2024,12,DEPT OF CORRECTIONS,Administrative Services,SCHAGRIN GAS CO.,Fuel Dealers-Coal Fuel Oil Liq Petroleum Wood,2024-06-25,1211.61
2024,12,DEPT OF CORRECTIONS,Administrative Services,CONNIE'S PIZZA,Eating Places Restaurants,2024-06-24,23.47
2024,12,DEPT OF CORRECTIONS,Administrative Services,TST* LEYE - TALL BOY TACO,Eating Places Restaurants,2024-06-24,36.73
2024,12,DEPT OF CORRECTIONS,Administrative Services,UBER TRIP,Travel,2024-06-26,40.41
2024,12,DEPT OF CORRECTIONS,Administrative Services,CITY OF WILMINGTON,Utlts-Elctrc Gas Heating Oil Sanitary Water,2024-06-24,10232.2
2024,12,DEPT OF CORRECTIONS,Administrative Services,CITY OF WILMINGTON,Utlts-Elctrc Gas Heating Oil Sanitary Water,2024-06-24,261.89
